t,cpu_time,RBQpos_x,RBQpos_y,RBQpos_z,RBQvel_x,RBQvel_y,RBQvel_z,RBQroll,RBQpitch,RBQyaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,F_rh_x,F_rh_y,F_rh_z,F_lh_x,F_lh_y,F_lh_z,F_rf_x,F_rf_y,F_rf_z,F_lf_x,F_lf_y,F_lf_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,out_quat_w,out_quat_x,out_quat_y,out_quat_z,out_roll_deg,out_pitch_deg,out_yaw_deg,out_p_trunk_x,out_p_trunk_y,out_p_trunk_z,out_v_trunk_sf_x,out_v_trunk_sf_y,out_v_trunk_sf_z
0,0,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.08447,0.0731078,9.61736,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.000170192,0.00485252,8.88124e-09,0.00950014,-0.000213284,0.60444,0,0,-0.395947
0.003985,0.00396,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-0.00111109,-2.129e-08,6.42006e-06,-2.08955,0.0781568,9.60258,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,9.05166e-05,0.00972412,1.46592e-06,0.00950028,-0.000212514,0.602862,-3.4453e-05,0.000358877,-0.395911
0.0045,0.000469,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-0.00111109,-2.129e-08,6.42006e-06,-2.08955,0.0781568,9.60258,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.000230655,0.0145924,1.66155e-06,0.00950033,-0.000212087,0.602667,-2.88781e-05,0.000433501,-0.393878
0.006063,0.000519,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.07458,0.0781735,9.59755,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.000400874,0.0194273,1.65974e-06,0.00950033,-0.000212139,0.602059,-2.61083e-05,0.000324814,-0.392666
0.008073,0.000524,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.07452,0.0681407,9.6074,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.000544042,0.0242553,1.47551e-06,0.00950033,-0.000212074,0.601279,-2.35267e-05,0.000291412,-0.391444
0.010064,0.000633,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.08952,0.0581405,9.60746,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.000660488,0.0291145,1.04587e-06,0.00950038,-0.000212015,0.600513,-4.66368e-05,0.000258796,-0.390113
0.012074,0.000455,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,0,0,0,-2.07455,0.0431573,9.60238,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.000739269,0.0339403,2.23403e-07,0.00950037,-0.000211923,0.599745,-4.46985e-05,0.000212626,-0.388742
0.014074,0.000513,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-0,-0.00111111,-3.68462e-06,-2.03955,0.0481579,9.60219,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.000827414,0.0385583,-8.89036e-07,0.00949936,-0.00021187,0.598987,-9.97941e-05,0.000185753,-0.387359
0.016092,0.000662,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-0,-0.00111111,-3.68462e-06,-2.03955,0.0481579,9.60219,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.000912971,0.0431726,-2.0568e-06,0.00949833,-0.000211826,0.598228,-9.48739e-05,0.000164587,-0.385938
0.018071,0.000477,0.02785,-0.000519697,0.427765,0,0,0,0.0050398,0.212492,3.64427e-08,-0.00111109,-2.129e-08,6.42006e-06,-2.02961,0.0381909,9.59222,16.467,-5.92008,-95.831,16.0656,4.49611,-92.4889,19.3966,-8.44039,-98.2711,19.2491,6.89038,-96.233,0.00654888,0.471581,-1.2451,-0.00191744,0.48403,-1.23531,-0.0297946,0.781799,-1.80905,0.00610646,0.720293,-1.81017,0,-0,0,0,0,0,-0,-0,0,-0,0,0,0.994358,0.00250569,0.106046,-0.000267208,0.000847301,0.0478951,-2.47802e-06,0.00949818,-0.000210848,0.597489,3.08898e-05,0.000227607,-0.38451
